player_id,name,team,position,overall_rank,position_rank,tier,ppr_points,points_per_game,vorp,low_ppr,high_ppr,confidence,games,pass_attempts,completions,passing_yards,passing_touchdowns,interceptions,carries,rushing_yards,rushing_touchdowns,targets,receptions,receiving_yards,receiving_touchdowns,fumbles_lost,data_mode,model_version,projection_season
00-0037238,Drake London,ATL,WR,22,11,10,202.43592147706596,14.214654723585557,63.15702044950842,165.9974556111941,238.8743873429378,0.58,14.241353407000151,,,,,,0.777741856940367,-0.4991769428161927,0.0,122.39750461621001,72.9453639048362,921.4902776442833,6.410554631452248,0.535940143315219,production,2026.2.0,2026
00-0040129,Emeka Egbuka,TB,WR,23,12,10,200.24224889817344,15.923248844000682,60.963347870615905,164.19864409650225,236.28585369984464,0.62,12.575464395484698,,,,,,0.621313738274248,-2.0750383716545207,0.0,109.69435761122558,67.40977549093601,935.5595373892363,6.689856611361096,0.32755808134365044,production,2026.2.0,2026
00-0036970,Kyle Pitts,ATL,TE,24,2,10,192.792758326124,12.990786647027935,59.687232365804505,158.0900618274217,227.49545482482628,0.58,14.840730093141172,,,,,,0.0,3.116359913754585,0.12980387304470076,115.55269467642428,78.89791890225585,814.7007133789839,5.490747974354928,0.805089494901751,production,2026.2.0,2026
00-0040124,Tetairoa McMillan,CAR,WR,25,13,10,197.57412147421283,14.503383086338312,58.29522044665529,162.01077960885453,233.13746333957113,0.62,13.622623100972962,,,,,,0.0,-2.385603120641364,0.0,106.38102786750053,67.29659826079384,983.9510975903074,5.462251774992969,0.3262684417527252,production,2026.2.0,2026
00-0030506,Travis Kelce,KC,TE,26,3,10,189.39329132345102,12.461669838248037,56.28776536313154,155.30249888522985,223.4840837616722,0.52,15.198066854744843,,,,,,0.7955003739853748,0.9846253770178492,0.013169464681497127,100.80334963189182,78.90592227587948,806.0761091712844,4.987099719113568,0.11015975501452123,production,2026.2.0,2026
00-0039918,Caleb Williams,CHI,QB,27,3,10,280.37490809856865,18.111358256895933,55.850896430135634,229.90742464082632,330.842391556311,0.62,15.480611896781147,485.2660689275127,315.2558317901055,3716.9405450020176,25.470453161419567,8.049999999999999,66.42980590442241,332.5454745434509,2.4934876997440973,,,,,1.15,production,2026.2.0,2026
00-0036912,DeVonta Smith,PHI,WR,28,14,10,192.33023962945043,13.369382275569132,53.051338601892894,157.71079649614936,226.9496827627515,0.62,14.385873308515517,,,,,,0.701375624708036,2.244274731289455,0.03103889749933366,105.87002123044338,73.95820601565157,904.433168405576,4.6,0.04097204244183833,production,2026.2.0,2026
00-0032764,Derrick Henry,BAL,RB,29,9,10,184.14469736346066,10.83204102138004,52.96255242798787,150.99865183803774,217.29074288888359,0.62,17.0,,,,,,197.5042794587278,1037.3355273646173,9.640117624806933,19.30087845269593,11.421581152820888,108.7042671615021,0.5088825051233357,1.3874320107768865,production,2026.2.0,2026
00-0033873,Patrick Mahomes,KC,QB,30,4,10,277.1272850638178,18.152479201346555,52.603273395384775,227.2443737523306,327.010196375305,0.62,15.266635592303029,522.795695856436,340.50532346383847,3609.8409178843954,25.299999999999997,7.114658672105329,45.868177038638876,322.3265838765034,2.5002110265320665,,,,,0.7354794270950404,production,2026.2.0,2026
00-0037239,Chris Olave,NO,WR,31,15,10,189.17874017823914,12.426265870514698,49.8998391506816,155.12656694615612,223.23091341032216,0.62,15.224102087428081,,,,,,0.817208379978476,2.8585325597182103,0.0,127.2179700284466,70.07767075969365,995.3214149075136,3.346476728007976,0.3978928481127715,production,2026.2.0,2026
00-0039915,Ladd McConkey,LAC,WR,32,16,10,188.64248960249603,12.630789776748843,49.36358857493849,154.68684147404676,222.5981377309453,0.62,14.935130180834383,,,,,,0.6165997991472846,3.6947212603217428,0.04254031366782031,97.6260382831113,65.42350731710641,907.3499999999999,5.477970555504019,0.5042775278367854,production,2026.2.0,2026
00-0038597,Chase Brown,CIN,RB,33,10,10,176.33171716920532,11.480109262247279,45.14957223373253,144.59200807874836,208.07142625966227,0.62,15.359759488446512,,,,,,182.01708413559106,616.4048438221233,4.993591310566702,51.27309299842141,42.25590350410561,288.7879925938056,2.454999714252454,0.5675080627040606,production,2026.2.0,2026
00-0035700,Josh Jacobs,GB,RB,34,11,10,174.78446317652484,12.997145365472813,43.602318241052046,143.32325980475036,206.2456665482993,0.62,13.447911696120858,,,,,,177.196083803075,874.5979766740343,6.548227198414872,32.89650191304061,24.571912021425888,198.4882134454343,0.8232572679482127,0.6624873275132007,production,2026.2.0,2026
00-0039732,Bo Nix,DEN,QB,35,5,10,267.83311487477255,17.404483701374488,43.30910320633953,219.6231541973135,316.0430755522316,0.62,15.388742318947438,487.4377853970476,303.5774539406883,3985.1739765439474,25.682127871770255,10.205145128028436,54.1418360494943,252.89026360476615,0.9031513702523111,,,,,2.3,production,2026.2.0,2026
TAT143045,Carnell Tate,TEN,WR,36,17,10,179.9235294117647,13.356768558951964,40.64462838420715,129.54494117647056,230.30211764705882,0.5,13.470588235294118,,,,,,4.294117647058823,25.764705882352942,0.17647058823529413,81.74926006954506,59.8235294117647,856.4117647058823,5.235294117647059,0.29411764705882354,production,2026.2.0,2026
