season,position,target,model,is_baseline,mae,rmse,r2,bias,n,spearman
2021,QB,pass_attempts,ridge_baseline,true,98.86029789645282,145.0598615302924,0.5642022216365481,13.265748948826845,108,0.5964561997821951
2021,QB,pass_attempts,historical_median_comparable_opportunity,true,90.46296296296296,169.37357352139503,0.40586957076302577,-29.685185185185187,108,0.57602744632277
2021,QB,pass_attempts,ridge,false,95.72548233088736,138.81116887656063,0.6009389716621918,8.180790734796332,108,0.6782486327010367
2021,QB,pass_attempts,elastic_net,false,96.01158860860852,139.5288653797225,0.5968017670383234,8.286179018308516,108,0.673862632832699
2022,QB,pass_attempts,previous_season_total,true,91.27433628318585,145.4530304627458,0.5028396002447071,39.150442477876105,113,0.5994146026617901
2022,QB,pass_attempts,previous_season_per_game,true,91.27433628318585,145.4530304627458,0.5028396002447071,39.150442477876105,113,0.5994146026617901
2022,QB,pass_attempts,two_year_weighted_average,true,91.27433628318585,145.4530304627458,0.5028396002447071,39.150442477876105,113,0.5994146026617901
2022,QB,pass_attempts,three_year_weighted_average,true,91.27433628318585,145.4530304627458,0.5028396002447071,39.150442477876105,113,0.5994146026617901
2022,QB,pass_attempts,position_age_group_average,true,173.67513130355343,205.5317791732141,0.00732075012806388,17.56265890970237,113,-0.00816093823401952
2022,QB,pass_attempts,ridge_baseline,true,88.62414021267946,130.96121378241418,0.5969709381692334,8.812295415569055,113,0.6324392134103727
2022,QB,pass_attempts,historical_median_comparable_opportunity,true,96.91592920353982,165.8800811653817,0.35339440403438294,-22.154867256637168,113,0.6192758161444194
2022,QB,pass_attempts,ridge,false,84.96936042310932,119.37497484167709,0.6651289787676444,7.783624474710894,113,0.7306534835162705
2022,QB,pass_attempts,elastic_net,false,84.6982298042971,119.43538170775554,0.6647899859923525,7.0530123609862505,113,0.7216826843071705
2023,QB,pass_attempts,previous_season_total,true,129.36607142857142,202.43700519279713,-0.013096773293862052,45.205357142857146,112,0.4878691278308744
2023,QB,pass_attempts,previous_season_per_game,true,129.36607142857142,202.43700519279713,-0.013096773293862052,45.205357142857146,112,0.4878691278308744
2023,QB,pass_attempts,two_year_weighted_average,true,129.36607142857142,202.43700519279713,-0.013096773293862052,45.205357142857146,112,0.4878691278308744
2023,QB,pass_attempts,three_year_weighted_average,true,129.36607142857142,202.43700519279713,-0.013096773293862052,45.205357142857146,112,0.4878691278308744
2023,QB,pass_attempts,position_age_group_average,true,169.17815143330876,198.96840794893185,0.021323017315763027,17.347692515548626,112,-0.08403770293756378
2023,QB,pass_attempts,ridge_baseline,true,112.33117985031238,157.78977926177816,0.3844988599062136,3.7544268565612238,112,0.5865107170175669
2023,QB,pass_attempts,historical_median_comparable_opportunity,true,111.46428571428571,199.38779067793638,0.017192986945337885,-26.625,112,0.552669100151711
2023,QB,pass_attempts,ridge,false,106.64952990246954,151.80171590412144,0.43032850909739095,-0.007972605218512285,112,0.6496833783925596
2023,QB,pass_attempts,elastic_net,false,107.10740033656297,152.36590563313737,0.4260861318796014,0.26442767473973766,112,0.6425734582349976
2024,QB,pass_attempts,previous_season_total,true,119.39285714285714,186.7323810774584,0.06792981467469195,52.964285714285715,112,0.5366215256894648
2024,QB,pass_attempts,previous_season_per_game,true,119.39285714285714,186.7323810774584,0.06792981467469195,52.964285714285715,112,0.5366215256894648
2024,QB,pass_attempts,two_year_weighted_average,true,119.39285714285714,186.7323810774584,0.06792981467469195,52.964285714285715,112,0.5366215256894648
