position,target,model,is_baseline,mae,rmse,spearman,folds
WR,receiving_yards,previous_season_total,true,157.0534351086314,241.71466354865015,0.6455777412567525,8
QB,passing_tds,position_age_group_average,true,8.745455390865615,10.64682503035966,0.060137755833077525,8
QB,rushing_yards,previous_season_total,true,60.558429580647015,111.665995779795,0.5489260635542754,8
TE,fumbles_lost,previous_season_per_game,true,0.15448234066865665,0.4551421328469871,0.14378504989564786,8
TE,receptions,position_age_group_average,true,14.862596571206216,20.393842887576866,0.16849303967642165,8
QB,interceptions,ridge,false,2.4932050418933347,3.4331878048020896,0.6641954899632214,8
QB,rushing_yards,elastic_net,false,58.046368922667135,99.91938415143217,0.6235380989905932,8
QB,interceptions,previous_season_per_game,true,3.385280643304622,4.971006900417255,0.4787223801789061,8
RB,rushing_yards,two_year_weighted_average,true,145.3004501031388,248.54399619972614,0.6058088187894144,8
TE,receiving_yards,previous_season_total,true,107.0628582691876,169.24970246398948,0.5985158066680268,8
WR,rushing_yards,historical_median_comparable_opportunity,true,5.792799172355045,20.533841751329803,,8
WR,rushing_yards,ridge_baseline,true,8.0226950017082,18.171420831817354,0.39724895105411023,8
QB,rushing_yards,position_age_group_average,true,84.21095129118338,140.0833218736583,0.2317098534074165,8
QB,rushing_yards,ridge,false,58.53782871195397,99.95261014818459,0.61785140266379,8
RB,fantasy_points_ppr,three_year_weighted_average,true,35.86240706383719,58.25203757249292,0.6062321162151718,8
RB,fumbles_lost,elastic_net,false,0.32256313797220176,0.5280453113544333,0.4552482050124665,8
RB,rushing_tds,three_year_weighted_average,true,1.318438277219161,2.544007583839277,0.5462894178662251,8
TE,receiving_tds,position_age_group_average,true,1.312396155444589,1.8537011268519978,0.13958677148452311,8
RB,carries,position_age_group_average,true,50.06990004307755,70.01123062728226,0.3315561282141397,8
WR,carries,historical_median_comparable_opportunity,true,0.9695808133892247,3.3665104822125,,8
QB,fantasy_points_ppr,ridge,false,48.72160876353224,71.5851671506487,0.691850139194051,8
QB,fantasy_points_ppr,historical_median_comparable_opportunity,true,46.259011948161685,87.51004046896885,0.6174305434229376,8
WR,receptions,position_age_group_average,true,20.299452484285556,26.236067315664894,0.20784241465914066,8
TE,rushing_tds,ridge,false,0.05730755808656854,0.2676834074006661,0.11742798620377744,8
WR,targets,two_year_weighted_average,true,19.787566708500158,29.447109640598203,0.6373021622758496,8
TE,fumbles_lost,historical_median_comparable_opportunity,true,0.0802553450018603,0.32508016537457146,,8
WR,fantasy_points_ppr,two_year_weighted_average,true,34.12068343787019,52.48696492331537,0.6493812955465808,8
RB,targets,ridge_baseline,true,9.205485093763437,14.144100685407949,0.6530340812652806,8
TE,rushing_tds,previous_season_total,true,0.04339534057636668,0.29426332040102476,0.29683396880552704,8
TE,receiving_yards,position_age_group_average,true,162.8322841288641,224.74463503917568,0.18970033935705932,8
QB,interceptions,historical_median_comparable_opportunity,true,2.3315512865917927,3.9967991587563967,0.6032350334151231,8
RB,receiving_tds,three_year_weighted_average,true,0.5120923106116398,1.1019233944224396,0.35058694379981076,8
QB,completions,historical_median_comparable_opportunity,true,58.27816646779752,108.13649900546145,0.6267429657334272,8
QB,fumbles_lost,three_year_weighted_average,true,1.161614714553451,1.8482853282862488,0.40538237505264,8
WR,fumbles_lost,historical_median_comparable_opportunity,true,0.09317120309012958,0.3446575049030182,,8
RB,receptions,position_age_group_average,true,11.154240037813823,15.727727937178315,0.29878681917844274,8
WR,fumbles_lost,position_age_group_average,true,0.17696245401700567,0.33018558693595884,0.14090611205322368,8
QB,pass_attempts,two_year_weighted_average,true,109.18568819966204,170.9596126210294,0.5756861645271591,8
WR,receiving_yards,two_year_weighted_average,true,157.0534351086314,241.71466354865015,0.6455777412567525,8
WR,rushing_yards,ridge,false,8.489807696656609,16.905841869532427,0.3961088168168705,8
QB,fumbles_lost,two_year_weighted_average,true,1.161614714553451,1.8482853282862488,0.40538237505264,8
WR,fantasy_points_ppr,previous_season_total,true,34.12068343787019,52.48696492331537,0.6493812955465808,8
TE,fantasy_points_ppr,two_year_weighted_average,true,25.60473668850707,39.65133956556906,0.6028651825773901,8
RB,targets,two_year_weighted_average,true,10.969663803261488,17.55846822568359,0.5702892828858517,8
WR,receiving_yards,elastic_net,false,144.70730576065463,204.9685676823269,0.7484158278075822,8
QB,fantasy_points_ppr,two_year_weighted_average,true,51.268017146652056,83.78185355934656,0.6205105624024588,8
QB,fumbles_lost,elastic_net,false,0.8975964244358479,1.2972488271991982,0.5888638121171856,8
WR,fumbles_lost,three_year_weighted_average,true,0.18565162707990693,0.4822194159324263,0.11241489578754305,8
QB,completions,previous_season_per_game,true,70.05926366258306,111.09180783859578,0.5842274938780285,8
QB,interceptions,elastic_net,false,2.4690177662779584,3.443780527144409,0.6685722226588598,8
RB,receiving_yards,ridge,false,58.5487540448878,89.23832068324096,0.7158444106625413,8
